시군명,구/읍면동명,기관명,시설구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84경도,WGS84위도
광주시,남한산성면,남한산성파출소,파출소,12700,경기도 광주시 남한산성면 산성리 401-2번지,경기도 광주시 남한산성면 남한산성로 757,127.1861769,37.4776859
광주시,도척면,도척파출소,파출소,12815,경기도 광주시 도척면 노곡리 283-8번지,경기도 광주시 도척면 도척로 603,127.3313089,37.3000987
광주시,오포읍,오포서부파출소,파출소,12773,경기도 광주시 오포읍 능평리 133번지,경기도 광주시 오포읍 오포로171번길 3,127.18271,37.3470094
김포시,고촌읍,고촌파출소,파출소,10129,경기도 김포시 고촌읍 신곡리 1076번지 고촌파출소,경기도 김포시 고촌읍 김포대로 347,126.7694919,37.6013569
김포시,하성면,하성파출소,파출소,10011,경기도 김포시 하성면 마곡리 623-1번지 하성파출소,경기도 김포시 하성면 애기봉로 847,126.6317004,37.719733
김포시,대곶면,대곶파출소,파출소,10039,경기도 김포시 대곶면 율생리 451-1번지,경기도 김포시 대곶면 율생로 72,126.583975,37.6508479
김포시,양촌읍,양촌파출소,파출소,10057,경기도 김포시 양촌읍 양곡리 449-8번지,경기도 김포시 양촌읍 양곡1로68번길 3,126.6231977,37.6567108
김포시,고촌읍,김포터미널파출소,파출소,10135,경기도 김포시 고촌읍 전호리 68-10번지,경기도 김포시 고촌읍 아라육로152번길 56,126.7883775,37.6023838
수원시,팔달구,동부파출소,파출소,16249,경기도 수원시 팔달구 지동 480-6번지,경기도 수원시 팔달구 경수대로 621,127.0295833,37.2808459
남양주시,금곡동,금곡파출소,파출소,12237,경기도 남양주시 금곡동 420-1번지,경기도 남양주시 금곡로 57,127.2093662,37.6342565
성남시,수정구,신흥2치안센터,파출소,13259,경기도 성남시 수정구 신흥동 37번지,경기도 성남시 수정구 수정로279번길 5,127.1454013,37.4495229
성남시,중원구,하대원치안센터,파출소,13387,경기도 성남시 중원구 하대원동 118-5번지,경기도 성남시 중원구 둔촌대로217번길 3,127.1421302,37.4285244
시흥시,논곡동,목감치안센터,파출소,14984,경기도 시흥시 논곡동 147-8번지 목감치안센터,경기도 시흥시 동서로 1115,126.8612912,37.3884719
화성시,서신면,제부치안센터,파출소,18553,경기도 화성시 서신면 제부리 289-3번지,경기도 화성시 서신면 해안길 421-5,126.621513,37.1769676
이천시,단월동,단월치안센터,파출소,17400,경기도 이천시 단월동 520-4번지,경기도 이천시 단월로 53,127.4499579,37.2232492
안성시,서운면,서운치안센터,파출소,17607,경기도 안성시 서운면 인리 123-5번지,경기도 안성시 서운면 서운중앙길 43,127.2596023,36.9413071
의정부시,산곡동,송산치안센터,파출소,11799,경기도 의정부시 산곡동 498-2번지,경기도 의정부시 송산로 955,127.1031759,37.7165176
고양시,덕양구,효자치안센터,파출소,10582,경기도 고양시 덕양구 효자동 140-3번지,경기도 고양시 덕양구 북한산로387번길 31,126.949162,37.6618865
파주시,법원읍,웅담치안센터,파출소,10806,경기도 파주시 법원읍 웅담리 343-4번지,경기도 파주시 법원읍 술이홀로 1689,126.8941927,37.9117719
성남시,수정구,양지치안센터,파출소,13144,경기도 성남시 수정구 단대동 101-4번지,경기도 성남시 수정구 단대로 15,127.1581775,37.45239
성남시,분당구,내정치안센터,파출소,13599,경기도 성남시 분당구 수내동 60번지,경기도 성남시 분당구 내정로166번길 19,127.1208807,37.3721985
부천시,고강동,고강치안센터,파출소,14408,경기도 부천시 고강동 389번지,경기도 부천시 고리울로40번길 13-9,126.8208579,37.5269811
안산시,단원구,풍도치안센터,파출소,15654,경기도 안산시 단원구 풍도동 34-8번지,경기도 안산시 단원구 풍도길 8,126.3926781,37.1127486
화성시,우정읍,국화도치안센터,파출소,18557,경기도 화성시 우정읍 국화리 19번지,경기도 화성시 우정읍 국화길 26,126.5574205,37.0614464
안성시,고삼면,고삼치안센터,파출소,17505,경기도 안성시 고삼면 가유리 287-1번지,경기도 안성시 고삼면 고삼호수로 9,127.2621265,37.0831022
양평군,단월면,봉상치안센터,파출소,12529,경기도 양평군 단월면 봉상리 589-1번지,경기도 양평군 단월면 경강로 3526,127.6469043,37.5146079
고양시,일산서구,송포치안센터,파출소,10223,경기도 고양시 일산서구 대화동 2314번지,경기도 고양시 일산서구 대화로 166,126.7372106,37.6703209
